,num_population,ess,D,rmse_mean,rmse_var,time_taken,bananicity,sampler_name,V,mmd,num_iter,norm_of_mean
2016-01-26_14:01:48,10,39.49152985209633,2,8.574279837850845,213.93106199864638,0.5198421478271484,0.1,AdaptiveLangevin,100,76567656.72221309,1000,8.574279837850845
2016-01-26_14:01:54,10,63.19845710161634,2,9.220858447701083,217.89895443583626,0.663402795791626,0.1,AdaptiveLangevin,100,78517374.36830981,1000,9.220858447701083
2016-01-26_14:02:20,10,12.820552382047039,2,13.921056942136538,425.39787512467456,0.2997510433197021,0.1,AdaptiveMetropolis,100,3365997439.4985538,1000,13.921056942136538
2016-01-26_14:02:26,10,5.785560026950991,2,8.276581619736174,210.03818660198482,0.567641019821167,0.1,AdaptiveLangevin,100,75943893.95140615,1000,8.276581619736174
2016-01-26_14:02:52,10,18.192730191724912,2,4.843204713107668,168.73871797821687,0.5429458618164062,0.1,AdaptiveMetropolis,100,67937941.289305,1000,4.843204713107668
2016-01-26_14:02:56,10,77.61439855778222,2,9.154457108858823,218.7091765767732,1.0500729084014893,0.1,AdaptiveLangevin,100,77801323.82901882,1000,9.154457108858823
2016-01-26_14:03:00,10,10.143536944791997,2,4.992912669109955,21.603079361063017,0.4784009456634522,0.1,AdaptiveMetropolis,100,40361348.19354257,1000,4.992912669109955
2016-01-26_14:03:03,10,8.751793927686268,2,7.888876399110383,194.9052474793793,0.7161509990692139,0.1,AdaptiveLangevin,100,69559847.14230236,1000,7.888876399110383
2016-01-26_14:03:06,10,22.52558913264195,2,7.073261043310684,64.37832603768365,0.4619979858398438,0.1,AdaptiveMetropolis,100,37958119.23025518,1000,7.073261043310684
2016-01-26_14:03:10,10,7.359227158947197,2,8.243073029513086,211.8121989325616,0.6964669227600098,0.1,AdaptiveLangevin,100,76172456.92217912,1000,8.243073029513086
2016-01-26_14:03:14,10,13.908323546176133,2,3.786521623540877,90.61525888961687,0.4079411029815674,0.1,AdaptiveMetropolis,100,46409130.61209218,1000,3.786521623540877
2016-01-26_14:03:17,10,21.410393431193523,2,7.891842466207852,205.52520816954186,0.6824080944061279,0.1,AdaptiveLangevin,100,73293324.84066321,1000,7.891842466207852
2016-01-26_14:03:20,10,9.632411542163775,2,3.508872375481189,12.375521688436455,0.395380973815918,0.1,AdaptiveMetropolis,100,31833854.33951189,1000,3.508872375481189
2016-01-26_14:03:23,10,90.01070208409965,2,8.979114598382761,217.37855351590386,0.6889030933380127,0.1,AdaptiveLangevin,100,77555497.99604712,1000,8.979114598382761
2016-01-26_14:03:26,10,19.033960710208344,2,4.003495545240459,140.886283013821,0.4327881336212158,0.1,AdaptiveMetropolis,100,60640097.61179166,1000,4.003495545240459
2016-01-26_14:03:30,10,48.19519098963299,2,8.951804644717338,217.66455018581647,0.7886421680450441,0.1,AdaptiveLangevin,100,77343942.26430906,1000,8.951804644717338
2016-01-26_14:03:34,10,37.11967876875918,2,4.5415395113572625,161.08063219974952,0.5558738708496094,0.1,AdaptiveMetropolis,100,63958350.41151486,1000,4.5415395113572625
2016-01-26_14:03:37,10,9.455651559440485,2,8.478055451979598,210.07249225010614,0.6969449520111084,0.1,AdaptiveLangevin,100,76399724.26913942,1000,8.478055451979598
2016-01-26_14:03:40,10,92.45661328491528,2,6.675329607690783,182.019541390638,0.3978450298309326,0.1,AdaptiveMetropolis,100,77106398.02404843,1000,6.675329607690783
2016-01-26_14:03:44,10,45.145270899716145,2,8.350265355451148,212.10794717433728,0.7119889259338379,0.1,AdaptiveLangevin,100,76225716.36334585,1000,8.350265355451148
2016-01-26_14:03:47,10,33.36511333504537,2,2.1052817625393416,127.78221946443027,0.457179069519043,0.1,AdaptiveMetropolis,100,53052630.34065417,1000,2.1052817625393416
2016-01-26_14:03:50,10,33.74475882195209,2,8.58576252078859,213.214481756517,0.6858718395233154,0.1,AdaptiveLangevin,100,76820995.12785211,1000,8.58576252078859
2016-01-26_14:03:53,10,10.997199563183479,2,9.500266963173932,146.89772333596272,0.3785309791564941,0.1,AdaptiveMetropolis,100,328771178.6585252,1000,9.500266963173932
2016-01-26_14:03:57,10,20.799494485132925,2,8.415403566609271,212.08609712679703,0.6424939632415771,0.1,AdaptiveLangevin,100,75414796.17835924,1000,8.415403566609271
2016-01-26_14:04:00,10,6.649793710063955,2,3.9414502116679513,78.55765262220933,0.4355399608612061,0.1,AdaptiveMetropolis,100,27648712.21835018,1000,3.9414502116679513
2016-01-26_14:04:04,10,67.28533748917519,2,8.676780973901385,216.00719993848102,0.8679401874542236,0.1,AdaptiveLangevin,100,76278443.55653414,1000,8.676780973901385
2016-01-26_14:04:07,10,46.18408640255504,2,3.0352454655438224,78.6860076229532,0.3562769889831543,0.1,AdaptiveMetropolis,100,40102743.37098467,1000,3.0352454655438224
